date,new_daily_cases,new_daily_deaths,total_cases,total_deaths
1/26/20,4,0,4,0
1/27/20,1,0,5,0
1/28/20,0,0,5,0
1/29/20,1,0,6,0
1/30/20,3,0,9,0
1/31/20,0,0,9,0
2/01/20,3,0,12,0
2/02/20,0,0,12,0
2/03/20,0,0,12,0
2/04/20,1,0,13,0
2/05/20,0,0,13,0
2/06/20,1,0,14,0
2/07/20,1,0,15,0
2/08/20,0,0,15,0
2/09/20,0,0,15,0
2/10/20,0,0,15,0
2/11/20,0,0,15,0
2/12/20,0,0,15,0
2/13/20,0,0,15,0
2/14/20,0,0,15,0
2/15/20,0,0,15,0
2/16/20,0,0,15,0
2/17/20,0,0,15,0
2/18/20,0,0,15,0
2/19/20,0,0,15,0
2/20/20,0,0,15,0
2/21/20,0,0,15,0
2/22/20,0,0,15,0
2/23/20,0,0,15,0
2/24/20,0,0,15,0
2/25/20,0,0,15,0
2/26/20,0,0,15,0
2/27/20,0,0,15,0
2/28/20,0,0,15,0
2/29/20,10,0,25,0
3/01/20,2,1,27,1
3/02/20,3,0,30,1
3/03/20,9,0,39,1
3/04/20,13,1,52,2
3/05/20,3,0,55,2
3/06/20,5,0,60,2
3/07/20,3,0,63,2
3/08/20,13,1,76,3
3/09/20,15,0,91,3
3/10/20,16,0,107,3
3/11/20,21,0,128,3
3/12/20,0,0,128,3
3/13/20,72,0,200,3
3/14/20,50,0,250,3
3/15/20,47,0,297,3
3/16/20,80,0,377,3
3/17/20,75,2,452,5
3/18/20,116,1,568,6
3/19/20,113,0,681,6
3/20/20,110,1,791,7
3/21/20,280,0,1071,7
3/22/20,478,0,1549,7
3/23/20,133,0,1682,7
3/24/20,362,1,2044,8
3/25/20,320,0,2364,8
3/26/20,446,5,2810,13
3/27/20,333,0,3143,13
3/28/20,497,1,3640,14
3/29/20,344,2,3984,16
3/30/20,377,1,4361,17
3/31/20,198,1,4559,18
4/01/20,303,2,4862,20
4/02/20,468,8,5330,28
4/03/20,0,0,5330,28
4/04/20,220,2,5550,30
4/05/20,137,5,5687,35
4/06/20,110,5,5797,40
4/07/20,98,5,5895,45
4/08/20,115,5,6010,50
4/09/20,98,1,6108,51
4/10/20,107,3,6215,54
4/11/20,88,3,6303,57
4/12/20,12,3,6315,60
4/13/20,36,1,6351,61
4/14/20,64,1,6415,62
4/15/20,25,1,6440,63
4/16/20,22,0,6462,63
4/17/20,60,3,6522,66
4/18/20,25,1,6547,67
4/19/20,0,0,6547,67
4/20/20,0,0,6547,67
4/21/20,0,0,6547,67
