date,new_daily_cases,new_daily_deaths,total_cases,total_deaths

1/31/20,2,0,2,0

2/01/20,0,0,2,0

2/02/20,0,0,2,0

2/03/20,0,0,2,0

2/04/20,0,0,2,0

2/05/20,0,0,2,0

2/06/20,0,0,2,0

2/07/20,1,0,3,0

2/08/20,0,0,3,0

2/09/20,0,0,3,0

2/10/20,0,0,3,0

2/11/20,0,0,3,0

2/12/20,0,0,3,0

2/13/20,0,0,3,0

2/14/20,0,0,3,0

2/15/20,0,0,3,0

2/16/20,0,0,3,0

2/17/20,0,0,3,0

2/18/20,0,0,3,0

2/19/20,0,0,3,0

2/20/20,0,0,3,0

2/21/20,17,1,20,1

2/22/20,42,1,62,2

2/23/20,93,1,155,3

2/24/20,74,4,229,7

2/25/20,93,3,322,10

2/26/20,131,2,453,12

2/27/20,202,5,655,17

2/28/20,233,4,888,21

2/29/20,240,8,1128,29

3/01/20,566,5,1694,34

3/03/20,342,18,2036,52

3/04/20,1053,55,3089,107

3/05/20,769,41,3858,148

3/06/20,778,49,4636,197

3/07/20,1247,36,5883,233

3/08/20,1492,133,7375,366

3/09/20,1797,97,9172,463

3/10/20,977,168,10149,631

3/11/20,2313,196,12462,827

3/13/20,0,0,12462,827

3/14/20,8695,614,21157,1441

3/15/20,3590,368,24747,1809

3/16/20,3233,349,27980,2158

3/17/20,3526,345,31506,2503

3/18/20,4207,475,35713,2978

3/19/20,5322,427,41035,3405

3/20/20,5986,627,47021,4032

3/21/20,6557,793,53578,4825

3/22/20,5560,651,59138,5476

3/23/20,4789,601,63927,6077

3/24/20,5249,743,69176,6820

3/25/20,5210,683,74386,7503

3/26/20,6203,712,80589,8215

3/27/20,5909,919,86498,9134

3/28/20,5974,889,92472,10023

3/29/20,5217,756,97689,10779

3/30/20,4050,812,101739,11591

3/31/20,4053,837,105792,12428

4/01/20,4782,727,110574,13155

4/02/20,4668,760,115242,13915

4/03/20,4585,766,119827,14681

4/04/20,4805,681,124632,15362

4/05/20,4316,525,128948,15887

4/06/20,3599,636,132547,16523

4/07/20,3039,604,135586,17127

4/08/20,3836,542,139422,17669

4/09/20,4204,610,143626,18279

4/10/20,3951,570,147577,18849

4/11/20,4694,619,152271,19468

4/12/20,4092,431,156363,19899

4/13/20,3153,566,159516,20465

