date,new_daily_cases,new_daily_deaths,total_cases,total_deaths
1/22/20,1,0,1,0
1/23/20,0,0,1,0
1/24/20,1,0,2,0
1/25/20,0,0,2,0
1/26/20,3,0,5,0
1/27/20,0,0,5,0
1/28/20,0,0,5,0
1/29/20,0,0,5,0
1/30/20,0,0,5,0
1/31/20,2,0,7,0
2/01/20,1,0,8,0
2/02/20,0,0,8,0
2/03/20,3,0,11,0
2/04/20,0,0,11,0
2/05/20,0,0,11,0
2/06/20,0,0,11,0
2/07/20,0,0,11,0
2/08/20,0,0,11,0
2/09/20,0,0,11,0
2/10/20,0,0,11,0
2/11/20,1,0,12,0
2/12/20,0,0,12,0
2/13/20,1,0,13,0
2/14/20,0,0,13,0
2/15/20,0,0,13,0
2/16/20,0,0,13,0
2/17/20,0,0,13,0
2/18/20,0,0,13,0
2/19/20,0,0,13,0
2/20/20,0,0,13,0
2/21/20,2,0,15,0
2/22/20,0,0,15,0
2/23/20,0,0,15,0
2/24/20,36,0,51,0
2/25/20,0,0,51,0
2/26/20,6,0,57,0
2/27/20,1,0,58,0
2/28/20,2,0,60,0
2/29/20,8,1,68,1
3/01/20,6,0,74,1
3/02/20,24,5,98,6
3/03/20,20,1,118,7
3/04/20,31,4,149,11
3/05/20,68,1,217,12
3/06/20,45,2,262,14
3/07/20,140,3,402,17
3/08/20,116,4,518,21
3/09/20,65,1,583,22
3/10/20,376,6,959,28
3/11/20,322,8,1281,36
3/12/20,382,4,1663,40
3/13/20,516,7,2179,47
3/14/20,548,7,2727,54
3/15/20,772,9,3499,63
3/16/20,1133,22,4632,85
3/17/20,1789,23,6421,108
3/18/20,1362,10,7783,118
3/19/20,5894,82,13677,200
3/20/20,5423,44,19100,244
3/21/20,6389,63,25489,307
3/22/20,7787,110,33276,417
3/23/20,10571,140,43847,557
3/24/20,9893,149,53740,706
3/25/20,12038,236,65778,942
3/26/20,18058,267,83836,1209
3/27/20,17821,372,101657,1581
3/28/20,19821,445,121478,2026
3/29/20,19408,441,140886,2467
3/30/20,20921,511,161807,2978
3/31/20,26365,895,188172,3873
4/01/20,25200,884,213372,4757
4/02/20,32201,1301,245573,6058
4/03/20,30013,1029,275586,7087
4/04/20,32947,1289,308533,8376
4/05/20,28539,1243,337072,9619
4/06/20,29542,1164,366614,10783
4/07/20,29609,1939,396223,12722
4/08/20,32829,1973,429052,14695
4/09/20,32385,1783,461437,16478
4/10/20,35098,2108,496535,18586
4/11/20,29861,1877,526396,20463
4/12/20,28917,1557,555313,22020
4/13/20,24887,1509,580200,23529
4/14/20,22789,2046,602989,25575
4/15/20,33361,2751,636350,28326
4/16/20,30875,4542,667225,32868
4/17/20,31880,3859,699105,36727
4/18/20,33092,1937,732197,38664
4/19/20,23336,1797,755533,40461
4/20/20,27757,1411,783290,41872
4/21/20,39967,2933,823257,44805
