date,new_daily_cases,new_daily_deaths,total_cases,total_deaths
3/14/20,2,0,2,0
3/15/20,8,0,10,0
3/16/20,7,0,17,0
3/17/20,16,0,33,0
3/18/20,3,0,36,0
3/19/20,6,0,42,0
3/20/20,0,0,42,0
3/21/20,28,0,70,0
3/22/20,0,0,70,0
3/23/20,7,0,77,0
3/24/20,7,0,84,0
3/25/20,7,0,91,0
3/26/20,16,0,107,0
3/27/20,0,1,107,1
3/28/20,12,1,119,2
3/29/20,0,0,119,2
3/30/20,16,1,135,3
3/31/20,0,0,135,3
4/01/20,8,0,143,3
4/02/20,3,2,146,5
4/03/20,7,2,153,7
4/04/20,2,0,155,7
4/05/20,4,0,159,7
4/06/20,6,0,165,7
4/07/20,0,0,165,7
4/08/20,2,2,167,9
4/09/20,4,0,171,9
4/10/20,0,0,171,9
4/11/20,4,0,175,9
4/12/20,6,0,181,9
4/13/20,8,0,189,9
