date,new_daily_cases,new_daily_deaths,total_cases,total_recoveries,total_deaths
1/22/20,548,17,548,28,17
1/23/20,95,1,643,30,18
1/24/20,277,8,920,36,26
1/25/20,486,16,1406,39,42
1/26/20,669,14,2075,49,56
1/27/20,802,26,2877,58,82
1/28/20,2632,49,5509,101,131
1/29/20,578,2,6087,120,133
1/30/20,2054,38,8141,135,171
1/31/20,1661,42,9802,214,213
2/01/20,2089,46,11891,275,259
2/02/20,4739,102,16630,463,361
2/03/20,3086,64,19716,614,425
2/04/20,3991,66,23707,843,491
2/05/20,3733,72,27440,1115,563
2/06/20,3147,70,30587,1477,633
2/07/20,3523,85,34110,1999,718
2/08/20,2704,87,36814,2596,805
2/09/20,3015,100,39829,3219,905
2/10/20,2525,107,42354,3918,1012
2/11/20,2032,100,44386,4636,1112
2/12/20,373,5,44759,5082,1117
2/13/20,15136,252,59895,6217,1369
2/14/20,6463,152,66358,7977,1521
2/15/20,2055,142,68413,9298,1663
2/16/20,2100,103,70513,10755,1766
2/17/20,1921,98,72434,12462,1864
2/18/20,1777,139,74211,14206,2003
2/19/20,408,113,74619,15962,2116
2/20/20,458,122,75077,18014,2238
2/21/20,473,0,75550,18704,2238
2/22/20,1451,205,77001,22699,2443
2/23/20,21,2,77022,23187,2445
2/24/20,219,150,77241,25015,2595
2/25/20,513,70,77754,27676,2665
2/26/20,412,52,78166,30084,2717
2/27/20,434,29,78600,32930,2746
2/28/20,328,44,78928,36329,2790
2/29/20,428,47,79356,39320,2837
3/01/20,576,35,79932,42162,2872
3/03/20,204,42,80136,44854,2914
3/04/20,250,69,80386,50001,2983
3/05/20,151,32,80537,52292,3015
3/06/20,153,29,80690,53944,3044
3/07/20,80,28,80770,55539,3072
3/08/20,53,28,80823,57388,3100
3/09/20,37,23,80860,58804,3123
3/10/20,27,16,80887,60181,3139
3/11/20,34,22,80921,61644,3161
3/13/20,11,11,80932,62901,3172
3/14/20,45,21,80977,65660,3193
3/15/20,26,10,81003,67017,3203
3/16/20,30,14,81033,67910,3217
3/17/20,25,13,81058,68798,3230
3/18/20,44,11,81102,69755,3241
3/19/20,54,8,81156,70535,3249
3/20/20,94,4,81250,71266,3253
3/21/20,55,6,81305,71857,3259
3/22/20,130,15,81435,72362,3274
3/23/20,63,0,81498,72814,3274
3/24/20,93,7,81591,73280,3281
3/25/20,70,4,81661,73773,3285
3/26/20,121,6,81782,74181,3291
3/27/20,115,5,81897,74720,3296
3/28/20,102,3,81999,75100,3299
3/29/20,123,5,82122,75582,3304
3/30/20,76,4,82198,75923,3308
3/31/20,81,1,82279,76206,3309
4/01/20,82,7,82361,76405,3316
4/02/20,103,10,82464,72819,3326
4/03/20,47,0,82511,72819,3326
4/04/20,32,4,82543,72819,3330
4/05/20,59,3,82602,72819,3333
4/06/20,63,2,82665,72819,3335
4/07/20,53,0,82718,72819,3335
4/08/20,91,2,82809,72819,3337
4/09/20,74,2,82883,72819,3339
4/10/20,58,1,82941,72819,3340
